x: 11290.5, y:8706.99
x: 11291, y:8708.2
x: 11291.5, y:8709.44
x: 11291.9, y:8710.71
x: 11292.3, y:8712
x: 11292.5, y:8713.3
x: 11292.8, y:8714.61
x: 11292.9, y:8715.94
x: 11293, y:8717.26
x: 11293.1, y:8718.59
x: 11293.2, y:8719.93
x: 11293.2, y:8721.26
x: 11293.2, y:8722.59
x: 11293.2, y:8723.93
x: 11293.2, y:8725.26
x: 11293.1, y:8726.59
x: 11293.1, y:8727.92
x: 11293.1, y:8729.26
x: 11293.1, y:8730.59
x: 11293.1, y:8731.92
x: 11293.2, y:8733.26
x: 11293.3, y:8734.59
x: 11293.4, y:8735.91
x: 11293.6, y:8737.23
x: 11293.8, y:8738.55
x: 11294.1, y:8739.85
x: 11294.4, y:8741.13
x: 11294.8, y:8742.4
x: 11295.3, y:8743.64
x: 11295.9, y:8744.84
